sno,sna,tot,sbi,mday,lat,lng,bemp,act
1199,捷運迴龍站(3號出口),60,12,20210224160337,25.02276,121.413053,46,1
1200,捷運先嗇宮站(2號出口),50,5,20210224160329,25.046068,121.470987,44,1
1201,鶯歌火車站(仁愛路),58,14,20210224160336,24.955591,121.354376,44,1
1202,建國育英路口,50,0,20201102151039,24.952761,121.347193,0,0
1203,鶯歌陶瓷老街,44,10,20210224160335,24.952226,121.351035,30,1
1204,立泰里(中環路二段),40,5,20210224160338,25.045676,121.442133,35,1
1205,竹圍公園,28,1,20210224160324,25.138234,121.463395,27,1
1206,新北市立鶯歌陶瓷博物館,40,1,20210224160335,24.949549,121.352832,39,1
1207,浮洲合宜住宅(樂群路),46,10,20210224160341,24.9969909,121.4465092,35,1
1208,尖山公園,44,8,20210224160326,24.94822,121.345767,36,1
1209,崇德橋東活動中心,46,9,20210224160327,25.070512,121.667002,31,1
1210,樹林區衛生所,38,4,20210224160332,24.983768,121.415032,34,1
1211,溪墘公園,36,10,20210224160339,25.079969,121.476205,26,1
1212,育德國小,34,4,20210224160324,24.970656,121.392602,30,1
1213,彭福國小,40,0,20210224160342,24.980335,121.423104,40,1
1214,民享藝文特區,36,5,20210224160336,25.003435,121.475345,31,1
1215,億光電子(樹林高中),40,28,20210224160320,24.983567,121.423601,12,1
1216,捷運永寧站(2號出口),32,26,20210224160328,24.965783,121.436227,6,1
1217,竿蓁市民活動中心,48,16,20210224160345,25.16509,121.450831,32,1
1218,長壽親子公園,38,5,20210224160357,24.991853,121.421371,33,1
1219,新市國小,36,15,20210224160322,25.185313,121.444332,21,1
1220,新北市立圖書館鶯歌分館,36,4,20210224160329,24.957195,121.349704,32,1
1221,德音國小,36,6,20210224160316,25.071515,121.43567,29,1
1222,中山北新春街口,40,1,20210224160344,25.180345,121.444742,39,1
1223,正德國中,40,0,20201102151100,25.178512,121.447874,0,1
1224,金城立體停車場,42,8,20210224160328,24.984102,121.458595,34,1
1225,先嗇宮,40,27,20210224160341,25.05119,121.476007,10,1
1226,板橋第一運動場,40,0,20201210085136,25.009061,121.468352,0,0
1227,光興國小,36,32,20210224160323,25.060339,121.500103,4,1
1228,安和市民活動中心,38,8,20210224160336,24.975317,121.515687,29,1
1229,景安板南路口,30,0,20210224160337,24.992249,121.504443,29,1
1230,新月橋,50,4,20210224160336,25.0323,121.450011,46,1
1231,修德國小,42,7,20210224160317,25.065295,121.49045,35,1
1232,福祥里(中和溝),38,15,20210224160329,25.005933,121.499565,23,1
1233,輕軌濱海義山站,40,9,20210224160334,25.189448,121.438708,31,1
1234,鴨母港抽水站,40,0,20210224160339,25.082935,121.456728,40,1
1235,捷運淡水站,106,29,20210224160327,25.168826,121.444183,77,1
1236,安成安德街口,36,6,20210224160343,24.961147,121.509988,27,1
1237,淡水國民運動中心,46,9,20210224160338,25.186496,121.443261,36,1
1238,捷運竹圍站,46,8,20210224160334,25.137658,121.460112,38,1
1239,龍門公園,38,9,20210224160338,25.074815,121.498484,29,1
1240,輕軌淡水行政中心站,34,12,20210224160326,25.188887,121.443505,22,1
1241,永安圖書館,36,5,20210224160341,25.078599,121.462228,31,1
1242,西盛廣場,34,17,20210224160330,25.000894,121.431485,16,1
1243,三峽區公所(三峽老街),42,17,20210224160323,24.934187,121.369158,24,1
1244,仁愛文化二路口,50,38,20210224160343,25.077118,121.374258,12,1
1245,崑崙活力廣場,42,4,20210224160319,24.993901,121.43288,38,1
1246,永盛公園,38,8,20210224160326,25.076133,121.484304,30,1
1247,鷺江廣場,32,4,20210224160337,25.085621,121.477694,28,1
1248,六張公園,36,7,20210224160316,25.069661,121.494048,29,1
1249,中山佳林路口,36,3,20210224160315,25.079592,121.385587,33,1
1250,國立臺北大學(三峽校區),58,14,20210224160321,24.945553,121.37326,43,1
1251,林口區公所,34,18,20210224160333,25.076742,121.388181,15,1
1252,新麗園社區,42,3,20210224160328,25.070428,121.376882,39,1
1253,中正富國路口,42,6,20210224160324,25.02594,121.417694,36,1
1254,大同國小,36,9,20210224160334,24.981146,121.416844,27,1
1255,新北市立圖書館五股成功分館,42,18,20210224160343,25.094784,121.446741,24,1
1256,民德立體停車場,32,2,20210224160337,24.999098,121.468345,30,1
